source_id,model,task,original_score,reasoning_score,category,fact_scores,primitive,application_eligible,manual_application_failure,question
medmcqa-234d826f-4a7b-4fd1-9799-b1a3602355fe,reference,case,2,2,all_probed_facts_correct,"[[2, 2]]",False,True,,"Medical question:
An unidentified 25-year-old man is brought from the roadside with disorientation, altered consciousness, vomiting, blood pressure of 90/70 mm Hg, heart rate of 110/min, temperature of 36.4°C, respiratory rate of 11/min, and bilateral pinpoint pupils. What is the most probable diagnosis?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-234d826f-4a7b-4fd1-9799-b1a3602355fe,rl,case,2,2,all_probed_facts_correct,"[[2, 2]]",False,True,,"Medical question:
An unidentified 25-year-old man is brought from the roadside with disorientation, altered consciousness, vomiting, blood pressure of 90/70 mm Hg, heart rate of 110/min, temperature of 36.4°C, respiratory rate of 11/min, and bilateral pinpoint pupils. What is the most probable diagnosis?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-37439d71-3558-4ceb-85af-8332c259afe1,reference,case,0,0,some_facts_consistently_wrong,"[[2, 2], [0, 0]]",False,True,,"Medical question:
A patient with chronic kidney disease and vomiting has an arterial pH of 7.40, PCO2 of 40 mm Hg, bicarbonate of 25 mEq/L, serum sodium of 145 mEq/L, and chloride of 100 mEq/L. What acid–base disorder is present?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-37439d71-3558-4ceb-85af-8332c259afe1,rl,case,0,0,some_facts_consistently_wrong,"[[2, 2], [0, 0]]",False,True,,"Medical question:
A patient with chronic kidney disease and vomiting has an arterial pH of 7.40, PCO2 of 40 mm Hg, bicarbonate of 25 mEq/L, serum sodium of 145 mEq/L, and chloride of 100 mEq/L. What acid–base disorder is present?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-f7469b1f-dda2-476a-9b27-312a080e0c8a,reference,case,0,0,partial_or_wording_sensitive,"[[2, 2], [1, 1]]",False,True,,"Medical question:
Three months after renal transplantation, a patient develops diarrhea. Stool examination shows organisms measuring 2–6 μm that stain with the modified Kinyoun method. Which pathogen is the most likely cause?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-f7469b1f-dda2-476a-9b27-312a080e0c8a,rl,case,0,0,partial_or_wording_sensitive,"[[2, 2], [1, 1]]",False,True,,"Medical question:
Three months after renal transplantation, a patient develops diarrhea. Stool examination shows organisms measuring 2–6 μm that stain with the modified Kinyoun method. Which pathogen is the most likely cause?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-579951c3-517c-41e4-ac39-0a48f474c01b,reference,case,0,0,partial_or_wording_sensitive,"[[2, 2], [0, 2]]",False,True,,"Medical question:
In a village, 456 births occurred during April. Of these, 56 infants showed no signs of life at birth, 56 live-born infants died before 28 days of age, and 34 died between 28 days and one year of age. Calculate the infant mortality rate per 1,000 live births.

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-579951c3-517c-41e4-ac39-0a48f474c01b,rl,case,0,0,partial_or_wording_sensitive,"[[2, 2], [0, 2]]",False,True,,"Medical question:
In a village, 456 births occurred during April. Of these, 56 infants showed no signs of life at birth, 56 live-born infants died before 28 days of age, and 34 died between 28 days and one year of age. Calculate the infant mortality rate per 1,000 live births.

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-05f7f85c-a5f7-438b-a8b4-afd025228b21,reference,case,2,1,all_probed_facts_wrong,"[[0, 0]]",False,True,,"Medical question:
A woman at 32 weeks of pregnancy presents with labor pains and minimal vaginal discharge. Analysis of the cervicovaginal discharge detects fetal fibronectin. What is the probable diagnosis?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-05f7f85c-a5f7-438b-a8b4-afd025228b21,rl,case,2,1,all_probed_facts_wrong,"[[0, 0]]",False,True,,"Medical question:
A woman at 32 weeks of pregnancy presents with labor pains and minimal vaginal discharge. Analysis of the cervicovaginal discharge detects fetal fibronectin. What is the probable diagnosis?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-b2378ac9-d9c4-415f-9e8d-f77a39b6117a,reference,case,0,0,all_probed_facts_wrong,"[[0, 0]]",True,False,,"Medical question:
A 6-month-old child presents with acute diarrhea and vomiting. Assuming rotavirus gastroenteritis, which viral protein acts as the enterotoxin responsible for secretory diarrhea?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-b2378ac9-d9c4-415f-9e8d-f77a39b6117a,rl,case,0,0,all_probed_facts_wrong,"[[0, 0]]",True,False,,"Medical question:
A 6-month-old child presents with acute diarrhea and vomiting. Assuming rotavirus gastroenteritis, which viral protein acts as the enterotoxin responsible for secretory diarrhea?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-f13fe47a-739d-40b0-8616-09dc24d83ff7,reference,case,2,2,all_probed_facts_correct,"[[2, 2], [2, 2]]",False,True,,"Medical question:
A 10-year-old boy has an abdominal mass and enlarged para-aortic lymph nodes. Biopsy shows a starry-sky appearance. What underlying genetic abnormality is most likely?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-f13fe47a-739d-40b0-8616-09dc24d83ff7,rl,case,2,2,all_probed_facts_correct,"[[2, 2], [2, 2]]",False,True,,"Medical question:
A 10-year-old boy has an abdominal mass and enlarged para-aortic lymph nodes. Biopsy shows a starry-sky appearance. What underlying genetic abnormality is most likely?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-87fab9d2-9419-49c1-93bf-59d0a311e8de,reference,case,0,0,all_probed_facts_wrong,"[[0, 0]]",True,False,,"Medical question:
A 70-year-old patient with hypertension, stage 5 chronic kidney disease, and newly diagnosed type 2 diabetes does not want injectable insulin. Which oral glucose-lowering drug is preferred because it requires no renal dose adjustment?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-87fab9d2-9419-49c1-93bf-59d0a311e8de,rl,case,0,0,all_probed_facts_wrong,"[[0, 0]]",True,False,,"Medical question:
A 70-year-old patient with hypertension, stage 5 chronic kidney disease, and newly diagnosed type 2 diabetes does not want injectable insulin. Which oral glucose-lowering drug is preferred because it requires no renal dose adjustment?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-d95f1158-fa4b-4229-98c5-40f4dc2bacec,reference,case,0,0,partial_or_wording_sensitive,"[[1, 0]]",False,True,,"Medical question:
A 3.5-kg male infant born at term after an uncomplicated pregnancy and delivery develops respiratory distress shortly after birth and requires mechanical ventilation. Chest radiography shows a normal cardiothymic silhouette and diffuse ground-glass lung fields. Surfactant replacement does not improve gas exchange, hypoxemia worsens during the first week, and cultures and echocardiography are unrevealing. A term female sibling died at one month of age with respiratory distress. What is the most likely diagnosis?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-d95f1158-fa4b-4229-98c5-40f4dc2bacec,rl,case,0,0,partial_or_wording_sensitive,"[[1, 1]]",False,True,,"Medical question:
A 3.5-kg male infant born at term after an uncomplicated pregnancy and delivery develops respiratory distress shortly after birth and requires mechanical ventilation. Chest radiography shows a normal cardiothymic silhouette and diffuse ground-glass lung fields. Surfactant replacement does not improve gas exchange, hypoxemia worsens during the first week, and cultures and echocardiography are unrevealing. A term female sibling died at one month of age with respiratory distress. What is the most likely diagnosis?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-2e78ce60-b4af-41c4-b2bd-595a6e728c1d,reference,case,0,0,all_probed_facts_wrong,"[[0, 0]]",False,True,,"Medical question:
A neonate who appeared healthy at discharge on day 5 of life is admitted on day 7 with severe respiratory distress and shock. What congenital cardiac diagnosis most likely explains this deterioration as the ductus arteriosus closes?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-2e78ce60-b4af-41c4-b2bd-595a6e728c1d,rl,case,0,0,all_probed_facts_wrong,"[[0, 0]]",False,True,,"Medical question:
A neonate who appeared healthy at discharge on day 5 of life is admitted on day 7 with severe respiratory distress and shock. What congenital cardiac diagnosis most likely explains this deterioration as the ductus arteriosus closes?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-ff70acbd-354f-4d68-bf18-74a4c6489695,reference,case,0,0,partial_or_wording_sensitive,"[[0, 2]]",False,True,,"Medical question:
Estimate the bicarbonate deficit in a 75-kg patient with pH 6.96, PCO2 30 mm Hg, and serum bicarbonate 6 mEq/L, using a bicarbonate distribution factor of 0.4 and a target bicarbonate of 24 mEq/L.

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-ff70acbd-354f-4d68-bf18-74a4c6489695,rl,case,0,0,partial_or_wording_sensitive,"[[0, 2]]",False,True,,"Medical question:
Estimate the bicarbonate deficit in a 75-kg patient with pH 6.96, PCO2 30 mm Hg, and serum bicarbonate 6 mEq/L, using a bicarbonate distribution factor of 0.4 and a target bicarbonate of 24 mEq/L.

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-76ad139f-2d71-44b7-aca8-bd96da79500b,reference,case,0,0,all_probed_facts_wrong,"[[0, 0]]",False,True,,"Medical question:
A 45-year-old patient presents with abdominal pain and menorrhagia. Endometrial biopsy is normal, and ultrasonography shows a diffusely enlarged uterus without an adnexal mass or discrete uterine lesion. What is the most likely diagnosis?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-76ad139f-2d71-44b7-aca8-bd96da79500b,rl,case,0,0,all_probed_facts_wrong,"[[0, 0]]",False,True,,"Medical question:
A 45-year-old patient presents with abdominal pain and menorrhagia. Endometrial biopsy is normal, and ultrasonography shows a diffusely enlarged uterus without an adnexal mass or discrete uterine lesion. What is the most likely diagnosis?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-6f0b2cc4-de54-4d80-8aa6-e9dc3acc4bb0,reference,case,2,2,all_probed_facts_correct,"[[2, 2], [2, 2]]",False,True,,"Medical question:
A patient receiving antitubercular therapy develops tingling in the lower limbs consistent with drug-induced peripheral neuropathy. Which vitamin should be administered for treatment?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-6f0b2cc4-de54-4d80-8aa6-e9dc3acc4bb0,rl,case,2,2,all_probed_facts_correct,"[[2, 2], [2, 2]]",False,True,,"Medical question:
A patient receiving antitubercular therapy develops tingling in the lower limbs consistent with drug-induced peripheral neuropathy. Which vitamin should be administered for treatment?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-f4d51744-50f2-42e9-8ec7-5b0e7e55d31e,reference,case,0,0,partial_or_wording_sensitive,"[[2, 1], [0, 2]]",False,True,,"Medical question:
A patient develops breathlessness and shock after a steering-wheel injury to the right side of the chest. What physical-examination finding is most useful for distinguishing tension pneumothorax from cardiac tamponade?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-f4d51744-50f2-42e9-8ec7-5b0e7e55d31e,rl,case,0,0,partial_or_wording_sensitive,"[[2, 1], [0, 2]]",False,True,,"Medical question:
A patient develops breathlessness and shock after a steering-wheel injury to the right side of the chest. What physical-examination finding is most useful for distinguishing tension pneumothorax from cardiac tamponade?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-37d6e02a-0f4d-44a5-bbe0-f8040e1522fa,reference,case,1,1,partial_or_wording_sensitive,"[[1, 0], [2, 2]]",False,True,,"Medical question:
A 25-year-old woman has had fever for one month and now presents with headache and ataxia. Brain imaging shows dilated ventricles and prominent basal exudates. What pattern of cerebrospinal-fluid glucose, protein, and leukocytes is expected?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-37d6e02a-0f4d-44a5-bbe0-f8040e1522fa,rl,case,2,1,partial_or_wording_sensitive,"[[1, 0], [2, 2]]",False,True,,"Medical question:
A 25-year-old woman has had fever for one month and now presents with headache and ataxia. Brain imaging shows dilated ventricles and prominent basal exudates. What pattern of cerebrospinal-fluid glucose, protein, and leukocytes is expected?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-ad3f328f-72a0-4539-be89-1c9b6cce07f6,reference,case,2,1,partial_or_wording_sensitive,"[[0, 2], [2, 2]]",False,True,,"Medical question:
A young woman presents with jaundice and elevated liver enzymes and has had two similar episodes. Her ANA titer is 1:40, IgG is elevated, serum copper is normal, and viral markers are negative. Liver-biopsy findings lead to immunosuppressive treatment, after which her condition improves. What diagnosis did the pathology most likely support?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-ad3f328f-72a0-4539-be89-1c9b6cce07f6,rl,case,2,2,partial_or_wording_sensitive,"[[0, 2], [2, 2]]",False,True,,"Medical question:
A young woman presents with jaundice and elevated liver enzymes and has had two similar episodes. Her ANA titer is 1:40, IgG is elevated, serum copper is normal, and viral markers are negative. Liver-biopsy findings lead to immunosuppressive treatment, after which her condition improves. What diagnosis did the pathology most likely support?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
medmcqa-0fc0b4ce-9bfd-48a2-920d-88c67e2c4e9c,reference,case,2,1,some_facts_consistently_wrong,"[[2, 0], [0, 0]]",False,True,,"Medical question:
A healthy 26-year-old woman undergoes cesarean delivery for fetal distress during her first pregnancy, which was complicated by mild hypertension. Two days postpartum, she develops headache and seizures without proteinuria. CT shows a 2 × 3 cm parasagittal hematoma. What is the most likely diagnosis?

Explain the clinical basis using the supplied information. Give the supported conclusion in natural language."
