experiment,task,arm,n,answer_score,reasoning_score,joint_score
independent_holdout_20260906,knowledge,A,150,66.0,59.0,59.0
independent_holdout_20260906,knowledge,B,150,67.33333333333333,61.66666666666667,61.66666666666667
independent_holdout_20260906,knowledge,C,150,62.33333333333333,56.666666666666664,56.333333333333336
independent_holdout_20260906,knowledge,D,150,66.0,57.99999999999999,57.99999999999999
independent_holdout_20260906,knowledge,D_half,150,68.0,60.0,60.0
independent_holdout_20260906,context,E,97,87.62886597938144,78.35051546391753,75.77319587628865
independent_holdout_20260906,context,F,97,87.11340206185567,68.55670103092784,65.97938144329896
format_factorial_v1,knowledge,C_start,150,57.99999999999999,52.33333333333333,51.0
format_factorial_v1,knowledge,T0,150,59.333333333333336,55.333333333333336,53.333333333333336
format_factorial_v1,knowledge,T1,150,60.0,54.333333333333336,53.666666666666664
format_factorial_v1,knowledge,T2,150,63.33333333333333,54.666666666666664,54.333333333333336
format_factorial_v1,knowledge,T3,150,61.33333333333333,53.0,52.33333333333333
format_factorial_v1,vqa,C_start,16,81.25,75.0,75.0
format_factorial_v1,vqa,T0,16,68.75,62.5,62.5
format_factorial_v1,vqa,T1,16,68.75,59.375,59.375
format_factorial_v1,vqa,T2,16,68.75,59.375,59.375
format_factorial_v1,vqa,T3,16,68.75,56.25,56.25
cpt_medical_v1,knowledge,sft_only,150,62.0,55.666666666666664,55.333333333333336
cpt_medical_v1,knowledge,cpt_sft,150,66.66666666666666,60.0,59.0
cpt_medical_v1,case,sft_only,160,36.25,26.25,26.25
cpt_medical_v1,case,cpt_sft,160,36.875,28.749999999999996,28.749999999999996
cpt_medical_v1,context,sft_only,97,86.5979381443299,69.58762886597938,67.0103092783505
cpt_medical_v1,context,cpt_sft,97,82.4742268041237,69.58762886597938,64.43298969072166
cpt_medical_v1,vqa,sft_only,105,65.71428571428571,63.33333333333333,60.952380952380956
cpt_medical_v1,vqa,cpt_sft,105,69.04761904761905,67.14285714285714,65.71428571428571
