case_id,model,run_id,execution,valid_judges,any_judge_critical_failure,both_judges_all_pass
CONSULT-01,minimax/minimax-m2.5,CONSULT-01__minimax_minimax-m2.5__r4,completed,2,True,False
CONSULT-01,qwen/qwen3.5-27b,CONSULT-01__qwen_qwen3.5-27b__r4,completed,2,True,False
CONSULT-02,minimax/minimax-m2.5,CONSULT-02__minimax_minimax-m2.5__r4,completed,2,True,False
CONSULT-02,qwen/qwen3.5-27b,CONSULT-02__qwen_qwen3.5-27b__r4,completed,2,True,False
CONSULT-03,minimax/minimax-m2.5,CONSULT-03__minimax_minimax-m2.5__r4,completed,2,True,False
CONSULT-03,qwen/qwen3.5-27b,CONSULT-03__qwen_qwen3.5-27b__r4,completed,2,False,True
CONSULT-04,minimax/minimax-m2.5,CONSULT-04__minimax_minimax-m2.5__r4,completed,2,False,True
CONSULT-04,qwen/qwen3.5-27b,CONSULT-04__qwen_qwen3.5-27b__r4,completed,2,False,True
CONSULT-05,minimax/minimax-m2.5,CONSULT-05__minimax_minimax-m2.5__r4,completed,2,False,True
CONSULT-05,qwen/qwen3.5-27b,CONSULT-05__qwen_qwen3.5-27b__r4,completed,2,False,True
CONSULT-06,minimax/minimax-m2.5,CONSULT-06__minimax_minimax-m2.5__r4_resumed,completed,2,True,False
CONSULT-06,qwen/qwen3.5-27b,CONSULT-06__qwen_qwen3.5-27b__r4,completed,2,False,True
CONSULT-07,minimax/minimax-m2.5,CONSULT-07__minimax_minimax-m2.5__r3,completed,2,False,True
CONSULT-07,qwen/qwen3.5-27b,CONSULT-07__qwen_qwen3.5-27b__r3,completed,2,False,True
CONSULT-08,minimax/minimax-m2.5,CONSULT-08__minimax_minimax-m2.5__r3,completed,2,True,False
CONSULT-08,qwen/qwen3.5-27b,CONSULT-08__qwen_qwen3.5-27b__r3,completed,2,True,False
CONSULT-09,minimax/minimax-m2.5,CONSULT-09__minimax_minimax-m2.5__r3,completed,2,False,True
CONSULT-09,qwen/qwen3.5-27b,CONSULT-09__qwen_qwen3.5-27b__r3,completed,2,False,True
CONSULT-10,minimax/minimax-m2.5,CONSULT-10__minimax_minimax-m2.5__r3,completed,2,True,False
CONSULT-10,qwen/qwen3.5-27b,CONSULT-10__qwen_qwen3.5-27b__r3,completed,2,False,True
CONSULT-11,minimax/minimax-m2.5,CONSULT-11__minimax_minimax-m2.5__r3,completed,2,False,True
CONSULT-11,qwen/qwen3.5-27b,CONSULT-11__qwen_qwen3.5-27b__r3,completed,2,False,True
CONSULT-12,minimax/minimax-m2.5,CONSULT-12__minimax_minimax-m2.5__r3,completed,2,True,False
CONSULT-12,qwen/qwen3.5-27b,CONSULT-12__qwen_qwen3.5-27b__r3,completed,2,True,False
CONSULT-13,minimax/minimax-m2.5,CONSULT-13__minimax_minimax-m2.5__r3,completed,2,False,True
CONSULT-13,qwen/qwen3.5-27b,CONSULT-13__qwen_qwen3.5-27b__r3,completed,2,False,False
CONSULT-14,minimax/minimax-m2.5,CONSULT-14__minimax_minimax-m2.5__r3,completed,2,False,True
CONSULT-14,qwen/qwen3.5-27b,CONSULT-14__qwen_qwen3.5-27b__r3,completed,2,True,False
CONSULT-15,minimax/minimax-m2.5,CONSULT-15__minimax_minimax-m2.5__r3,completed,2,False,True
CONSULT-15,qwen/qwen3.5-27b,CONSULT-15__qwen_qwen3.5-27b__r3,completed,2,False,False
CONSULT-16,minimax/minimax-m2.5,CONSULT-16__minimax_minimax-m2.5__r3,completed,2,False,True
CONSULT-16,qwen/qwen3.5-27b,CONSULT-16__qwen_qwen3.5-27b__r3,completed,2,False,True
CONSULT-17,minimax/minimax-m2.5,CONSULT-17__minimax_minimax-m2.5__r3,completed,2,False,True
CONSULT-17,qwen/qwen3.5-27b,CONSULT-17__qwen_qwen3.5-27b__r3,completed,2,False,True
CONSULT-18,minimax/minimax-m2.5,CONSULT-18__minimax_minimax-m2.5__r3,completed,2,True,False
CONSULT-18,qwen/qwen3.5-27b,CONSULT-18__qwen_qwen3.5-27b__r3,completed,2,True,False
CONSULT-19,minimax/minimax-m2.5,CONSULT-19__minimax_minimax-m2.5__r3,completed,2,False,False
CONSULT-19,qwen/qwen3.5-27b,CONSULT-19__qwen_qwen3.5-27b__r3,completed,2,True,False
CONSULT-20,minimax/minimax-m2.5,CONSULT-20__minimax_minimax-m2.5__r3,completed,2,False,True
CONSULT-20,qwen/qwen3.5-27b,CONSULT-20__qwen_qwen3.5-27b__r3,completed,2,False,True
CONSULT-21,minimax/minimax-m2.5,CONSULT-21__minimax_minimax-m2.5__r3,completed,2,True,False
CONSULT-21,qwen/qwen3.5-27b,CONSULT-21__qwen_qwen3.5-27b__r3,completed,2,True,False
CONSULT-22,minimax/minimax-m2.5,CONSULT-22__minimax_minimax-m2.5__r3,completed,2,False,True
CONSULT-22,qwen/qwen3.5-27b,CONSULT-22__qwen_qwen3.5-27b__r3,completed,2,False,True
CONSULT-23,minimax/minimax-m2.5,CONSULT-23__minimax_minimax-m2.5__r3,completed,2,False,True
CONSULT-23,qwen/qwen3.5-27b,CONSULT-23__qwen_qwen3.5-27b__r3,completed,2,False,True
CONSULT-24,minimax/minimax-m2.5,CONSULT-24__minimax_minimax-m2.5__r3,completed,2,True,False
CONSULT-24,qwen/qwen3.5-27b,CONSULT-24__qwen_qwen3.5-27b__r3,completed,2,False,True
