case_id,domain,difficulty,execution,grading,all_applicable_passed
HC-001,consultation,routine,completed,graded,True
HC-002,consultation,routine,completed,graded,True
HC-003,consultation,routine,completed,graded,True
HC-004,consultation,routine,completed,graded,True
HC-005,consultation,routine,completed,graded,True
HC-006,consultation,routine,completed,graded,True
HC-007,consultation,routine,completed,graded,True
HC-008,consultation,routine,completed,graded,True
HC-009,consultation,complex,completed,graded,True
HC-010,consultation,complex,completed,graded,True
HC-011,consultation,complex,completed,graded,True
HC-012,consultation,complex,completed,judge_error,False
HC-013,consultation,complex,completed,graded,True
HC-014,consultation,complex,completed,graded,False
HC-015,consultation,complex,completed,graded,True
HC-016,consultation,complex,completed,graded,False
HC-017,consultation,boundary,completed,graded,True
HC-018,consultation,boundary,completed,graded,True
HC-019,consultation,boundary,completed,graded,True
HC-020,consultation,boundary,completed,graded,True
HC-021,consultation,boundary,completed,graded,True
HC-022,consultation,boundary,completed,graded,True
HC-023,consultation,boundary,completed,graded,True
HC-024,consultation,boundary,completed,graded,True
HE-001,evidence,routine,completed,graded,True
HE-002,evidence,routine,completed,graded,True
HE-003,evidence,routine,completed,graded,True
HE-004,evidence,routine,completed,graded,True
HE-005,evidence,routine,completed,graded,True
HE-006,evidence,routine,completed,graded,True
HE-007,evidence,routine,completed,graded,True
HE-008,evidence,routine,completed,graded,True
HE-009,evidence,complex,completed,graded,True
HE-010,evidence,complex,completed,graded,True
HE-011,evidence,complex,completed,graded,True
HE-012,evidence,complex,completed,graded,True
HE-013,evidence,complex,completed,graded,True
HE-014,evidence,complex,completed,graded,True
HE-015,evidence,complex,completed,graded,True
HE-016,evidence,complex,completed,graded,True
HE-017,evidence,boundary,completed,graded,False
HE-018,evidence,boundary,completed,graded,True
HE-019,evidence,boundary,completed,graded,True
HE-020,evidence,boundary,completed,graded,True
HE-021,evidence,boundary,completed,graded,True
HE-022,evidence,boundary,completed,graded,True
HE-023,evidence,boundary,completed,graded,True
HE-024,evidence,boundary,completed,graded,True
HH-001,history,routine,completed,graded,True
HH-002,history,routine,completed,graded,True
HH-003,history,routine,completed,graded,True
HH-004,history,routine,completed,graded,True
HH-005,history,routine,completed,graded,True
HH-006,history,routine,completed,graded,True
HH-007,history,routine,completed,graded,True
HH-008,history,routine,completed,graded,True
HH-009,history,complex,completed,graded,True
HH-010,history,complex,completed,graded,True
HH-011,history,complex,completed,graded,True
HH-012,history,complex,completed,graded,True
HH-013,history,complex,completed,graded,True
HH-014,history,complex,completed,graded,True
HH-015,history,complex,completed,graded,True
HH-016,history,complex,completed,graded,True
HH-017,history,boundary,completed,graded,True
HH-018,history,boundary,completed,graded,True
HH-019,history,boundary,completed,graded,True
HH-020,history,boundary,completed,graded,True
HH-021,history,boundary,completed,graded,True
HH-022,history,boundary,completed,graded,True
HH-023,history,boundary,completed,graded,False
HH-024,history,boundary,completed,graded,True
